experiment,iter,elapsed_seconds,elapsed_minutes,elapsed_hours,sec_per_iter,dir_name,t1,t2,t3,t4,t5,t6,avg,mean_repeat,mean_mscore,mean_map,mean_loc_err
Proxy lr1e-2 sl gradac32 dl5.0,30000,23248.707822561264,387.4784637093544,6.457974395155906,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_30000_HPatchesV4.1,0.2714285714285714,0.5571428571428572,0.6357142857142857,0.7142857142857143,0.7928571428571428,0.8714285714285714,0.6404761904761904,0.6492258705333936,0.3396890323079248,0.7395425234730851,1.0381569422965136
Proxy lr1e-2 sl gradac32 dl5.0,31000,24023.664749979973,400.3944124996662,6.67324020832777,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_31000_HPatchesV4.1,0.2357142857142857,0.5571428571428572,0.6357142857142857,0.7571428571428571,0.8071428571428572,0.8642857142857143,0.6428571428571429,0.64766625065181,0.3408596241346266,0.758194065903415,1.0395816994883695
Proxy lr1e-2 sl gradac32 dl5.0,32000,24798.62167739868,413.310361289978,6.888506021499634,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_32000_HPatchesV4.1,0.2642857142857143,0.5285714285714286,0.6285714285714286,0.7285714285714285,0.8071428571428572,0.8571428571428571,0.6357142857142858,0.6471337267409616,0.34366372549586466,0.7532815551001208,1.0368942712273557
Proxy lr1e-2 sl gradac32 dl5.0,33000,25573.57860481739,426.22631008028986,7.103771834671497,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_33000_HPatchesV4.1,0.2785714285714286,0.4785714285714286,0.6,0.7428571428571429,0.8071428571428572,0.8571428571428571,0.6273809523809525,0.6478095482605645,0.3418832325326744,0.7506453289727537,1.0392996355378992
Proxy lr1e-2 sl gradac32 dl5.0,34000,26348.5355322361,439.14225887060167,7.319037647843361,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_34000_HPatchesV4.1,0.2785714285714286,0.5357142857142857,0.6285714285714286,0.7428571428571429,0.8,0.8714285714285714,0.6428571428571429,0.6483549370176218,0.34427928666237895,0.7535514044193925,1.0323586308098953
Proxy lr1e-2 sl gradac32 dl5.0,35000,27123.492459654808,452.05820766091347,7.534303461015225,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_35000_HPatchesV4.1,0.2642857142857143,0.5214285714285715,0.6357142857142857,0.7714285714285715,0.8071428571428572,0.8285714285714286,0.6380952380952382,0.6479359147929811,0.34229701527254497,0.7584391278225989,1.0341163513094402
Proxy lr1e-2 sl gradac32 dl5.0,36000,27898.449387073517,464.97415645122527,7.749569274187088,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_36000_HPatchesV4.1,0.2857142857142857,0.55,0.65,0.7571428571428571,0.8285714285714286,0.8571428571428571,0.6547619047619048,0.6484664758817456,0.34303625442604213,0.7521102327462538,1.0366890487098257
Proxy lr1e-2 sl gradac32 dl5.0,37000,28673.406314492226,477.89010524153707,7.964835087358952,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_37000_HPatchesV4.1,0.2785714285714286,0.55,0.6357142857142857,0.7285714285714285,0.8142857142857143,0.8428571428571429,0.6416666666666667,0.6483440399448678,0.3399019963148367,0.7477796305130449,1.0326471324084687
Proxy lr1e-2 sl gradac32 dl5.0,38000,29448.363241910934,490.80605403184893,8.180100900530816,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_38000_HPatchesV4.1,0.2785714285714286,0.5214285714285715,0.6071428571428571,0.7357142857142858,0.8214285714285714,0.8357142857142857,0.6333333333333334,0.6485703899690386,0.3408330358885602,0.7455988948015623,1.0394483015048064
Proxy lr1e-2 sl gradac32 dl5.0,39000,30223.320169329643,503.72200282216073,8.395366713702678,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_39000_HPatchesV4.1,0.3,0.5285714285714286,0.5785714285714286,0.7,0.7928571428571428,0.8714285714285714,0.6285714285714284,0.650033612232138,0.3430545125479529,0.751554917786865,1.0392254596355848
